  x   	 	   y   	 	V[Z|X= x, Y= y]
11	0	5.17173
9	0	5.28441
3	0	4.95155
8	0	5.05549
17	0	4.46989
3	0	4.95155
17	0	4.46989
14	0	4.86502
13	1	4.1257
17	0	4.46989
20	0	3.90096
5	0	5.06905
14	0	4.86502
16	0	4.38561
9	0	5.28441
1	0	4.44738
17	0	4.46989
5	0	5.06905
17	0	4.46989
15	1	3.90446
8	0	5.05549
5	0	5.06905
3	0	4.95155
9	0	5.28441
17	0	4.46989
3	0	4.95155
4	0	4.85622
13	0	4.93383
7	0	4.88256
13	0	4.93383
8	1	4.21791
9	0	5.28441
9	1	4.39487
18	0	4.16007
14	1	4.10849
6	0	4.93512
2	0	5.09351
20	0	3.90096
5	0	5.06905
4	0	4.85622
20	0	3.90096
18	0	4.16007
3	0	4.95155
10	0	5.74821
18	1	3.74483
8	0	5.05549
16	0	4.38561
3	0	4.95155
7	0	4.88256
13	0	4.93383
7	0	4.88256
1	0	4.44738
4	0	4.85622
6	0	4.93512
17	0	4.46989
6	0	4.93512
4	0	4.85622
17	1	3.94114
12	0	4.92401
2	0	5.09351
18	0	4.16007
18	0	4.16007
2	0	5.09351
7	0	4.88256
18	0	4.16007
13	1	4.1257
7	0	4.88256
10	0	5.74821
8	0	5.05549
7	1	4.07725
12	0	4.92401
18	0	4.16007
17	0	4.46989
3	0	4.95155
20	0	3.90096
16	0	4.38561
12	1	4.16231
1	0	4.44738
11	0	5.17173
18	0	4.16007
5	0	5.06905
9	0	5.28441
17	0	4.46989
13	0	4.93383
14	1	4.10849
3	1	4.15488
14	1	4.10849
11	0	5.17173
7	0	4.88256
15	0	4.41308
4	1	4.05148
15	0	4.41308
17	0	4.46989
16	0	4.38561
14	0	4.86502
4	0	4.85622
12	0	4.92401
7	0	4.88256
17	0	4.46989
17	0	4.46989
8	0	5.05549
9	0	5.28441
1	0	4.44738
3	0	4.95155
20	0	3.90096
16	0	4.38561
2	0	5.09351
20	1	3.57347
14	1	4.10849
20	0	3.90096
3	0	4.95155
13	0	4.93383
11	0	5.17173
6	0	4.93512
8	0	5.05549
6	0	4.93512
11	1	4.37121
9	0	5.28441
20	0	3.90096
9	0	5.28441
3	0	4.95155
16	0	4.38561
4	0	4.85622
19	0	4.01404
20	0	3.90096
16	0	4.38561
17	0	4.46989
3	1	4.15488
17	0	4.46989
4	0	4.85622
17	0	4.46989
20	0	3.90096
4	1	4.05148
10	0	5.74821
