11,0,900,,mean,1176.351266,-0.298922939
9,0,1000,,std dev,924.4899918,-0.190755192
3,0,1800,,,,0.674586788
8,0,1600,,,,0.458251293
17,0,800,,,,-0.407090687
3,0,1400,,,,0.241915798
17,0,800,,,,-0.407090687
14,0,600,,,,-0.623426182
13,1,850,,,,-0.353006813
17,0,500,,,,-0.731593929
20,0,699,,,,-0.516340112
5,0,625,,,,-0.596384245
14,0,800,,,,-0.407090687
16,0,1800,,,,0.674586788
9,0,450,,,,-0.785677803
20,0,4000,,,,3.054277233
1,0,800,,,,-0.407090687
17,0,1200,,,,0.025580303
5,0,775,,,,-0.434132624
8,0,4500,,,,3.595115971
17,0,600,,,,-0.623426182
15,1,1900,,,,0.782754536
8,0,3000,,,,1.972599758
5,0,600,,,,-0.623426182
3,0,699,,,,-0.516340112
9,0,1500,,,,0.350083546
17,0,1000,,,,-0.190755192
3,0,1500,,,,0.350083546
4,0,850,,,,-0.353006813
13,0,1500,,,,0.350083546
7,0,550,,,,-0.677510056
13,0,800,,,,-0.407090687
8,1,2800,,,,1.756264263
9,0,1450,,,,0.295999672
9,1,1300,,,,0.133748051
18,0,2000,,,,0.890922283
14,1,900,,,,-0.298922939
6,0,1200,,,,0.025580303
2,0,2500,,,,1.431761021
20,0,1850,,,,0.728670662
5,0,895,,,,-0.304331327
4,0,950,,,,-0.244839066
20,0,850,,,,-0.353006813
18,0,600,,,,-0.623426182
3,0,1200,,,,0.025580303
10,0,1200,,,,0.025580303
18,1,950,,,,-0.244839066
8,0,3500,,,,2.513438496
16,0,1000,,,,-0.190755192
3,0,699,,,,-0.516340112
7,0,600,,,,-0.623426182
13,0,985,,,,-0.206980354
7,0,700,,,,-0.515258434
1,0,900,,,,-0.298922939
4,0,850,,,,-0.353006813
6,0,850,,,,-0.353006813
17,0,700,,,,-0.515258434
6,0,200,,,,-1.056097172
4,0,800,,,,-0.407090687
17,1,600,,,,-0.623426182
12,0,1500,,,,0.350083546
2,0,700,,,,-0.515258434
18,0,1100,,,,-0.082587444
18,0,1400,,,,0.241915798
2,0,850,,,,-0.353006813
7,0,500,,,,-0.731593929
18,0,1000,,,,-0.190755192
13,1,1000,,,,-0.190755192
7,0,1200,,,,0.025580303
10,0,1300,,,,0.133748051
8,0,2500,,,,1.431761021
7,1,1200,,,,0.025580303
12,0,1200,,,,0.025580303
18,0,1800,,,,0.674586788
17,0,1000,,,,-0.190755192
3,0,2500,,,,1.431761021
20,0,700,,,,-0.515258434
16,0,900,,,,-0.298922939
12,1,2750,,,,1.702180389
