breed,heritage,price,,,,with outlier,w/o outlier
7,0,500,,,,-0.731593929,-0.956501996
6,0,600,,,,-0.623426182,-0.799568682
11,0,1200,,,,0.025580303,0.1420312
16,0,1250,,,,0.079664177,0.220497857
10,0,1000,,,,-0.190755192,-0.171835427
2,0,600,,,,-0.623426182,-0.799568682
11,0,1100,,,,-0.082587444,-0.014902113
7,0,1200,,,,0.025580303,0.1420312
4,0,850,,,,-0.353006813,-0.407235398
4,0,700,,,,-0.515258434,-0.642635369
2,0,500,,,,-0.731593929,-0.956501996
16,0,750,,,,-0.461174561,-0.564168712
13,0,800,,,,-0.407090687,-0.485702055
11,0,1200,,,,0.025580303,0.1420312
6,0,1500,,,,0.350083546,0.612831142
5,0,650,,,,-0.569342308,-0.721102025
4,0,700,,,,-0.515258434,-0.642635369
1,0,1000,,,,-0.190755192,-0.171835427
5,0,625,,,,-0.596384245,-0.760335354
18,0,900,,,,-0.298922939,-0.328768741
13,0,900,,,,-0.298922939,-0.328768741
13,0,1000,,,,-0.190755192,-0.171835427
14,0,900,,,,-0.298922939,-0.328768741
12,1,1850,,,,0.728670662,1.16209774
11,0,950,,,,-0.244839066,-0.250302084
17,0,1000,,,,-0.190755192,-0.171835427
2,0,495,,,,-0.737002317,-0.964348662
4,0,850,,,,-0.353006813,-0.407235398
20,0,1500,,,,0.350083546,0.612831142
7,0,700,,,,-0.515258434,-0.642635369
1,0,1200,,,,0.025580303,0.1420312
4,0,650,,,,-0.569342308,-0.721102025
5,0,250,,,,-1.002013298,-1.348835281
11,0,100,,,,-1.164264919,-1.584235251
13,0,950,,,,-0.244839066,-0.250302084
9,0,1050,,,,-0.136671318,-0.09336877
17,0,600,,,,-0.623426182,-0.799568682
20,0,1000,,,,-0.190755192,-0.171835427
9,1,1900,,,,0.782754536,1.240564397
2,0,400,,,,-0.839761677,-1.11343531
4,0,1200,,,,0.025580303,0.1420312
5,1,800,,,,-0.407090687,-0.485702055
13,1,850,,,,-0.353006813,-0.407235398
13,0,650,,,,-0.569342308,-0.721102025
