page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Boxer,Male,10-14-2017 (4 Weeks),No,No,$800 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,09-24-2017 (7 Weeks),Yes,No,$600 USD Buyer tips,United States,"Registered/registerable, Veterinarian examination"
Boxer,Female,04-28-2016 (18 Months),No,No,$100 USD Buyer tips,Select Areas,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,08-30-2017 (11 Weeks),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Boxer,Female,10-28-2017 (19 Days),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,09-08-2017 (9 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,09-16-2017 (8 Weeks),No,No,$700 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,10-07-2017 (5 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Boxer,Female,09-22-2017 (7 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Male,08-31-2017 (11 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,07-04-2017 (4 Months),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Boxer,Male,10-16-2017 (4 Weeks),Yes,No,$675 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,08-09-2017 (14 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Boxer,Male,09-26-2017 (7 Weeks),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,08-21-2017 (12 Weeks),Yes,Yes,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Boxer,Female,10-24-2017 (3 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Male,09-17-2017 (8 Weeks),No,No,$800 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Female,09-01-2017 (10 Weeks),No,No,$725 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,08-26-2017 (11 Weeks),No,No,$500 USD Buyer tips,Select Areas,"Current vaccinations, Veterinarian examination"
Boxer,Female,07-04-2017 (4 Months),No,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Boxer,Male,08-29-2017 (11 Weeks),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Male,09-26-2017 (7 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,09-02-2017 (10 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,09-21-2017 (8 Weeks),No,No,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Boxer,Male,01-01-2016 (22 Months),No,No,$350 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination"
Boxer,Male,10-12-2017 (5 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Male,09-05-2017 (10 Weeks),No,No,$950 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,09-28-2017 (7 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Boxer,Female,08-27-2017 (11 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Female,08-29-2017 (11 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,08-24-2017 (12 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,09-14-2017 (9 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,10-28-2017 (19 Days),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,08-29-2017 (11 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,12-04-2015 (23 Months),No,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Boxer,Female,10-05-2017 (6 Weeks),Yes,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,09-22-2017 (7 Weeks),No,No,$500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Boxer,Female,10-12-2017 (5 Weeks),No,Yes,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,09-11-2017 (9 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,09-20-2017 (8 Weeks),Yes,No,$1200 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,09-27-2017 (7 Weeks),No,No,$350 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination"
Boxer,Female,07-21-2017 (16 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,N/A,12-30-2017 (Unborn),Yes,No,$1150 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Male,07-28-2017 (15 Weeks),Yes,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,10-19-2017 (4 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Boxer,Male,10-12-2017 (5 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Male,10-01-2017 (6 Weeks),Yes,Yes,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Boxer,Female,06-16-2017 (5 Months),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,10-05-2017 (6 Weeks),Yes,No,$650 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,09-16-2017 (8 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,11-01-2017 (15 Days),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Female,10-09-2017 (5 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Boxer,Female,08-31-2017 (11 Weeks),Yes,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Boxer,Female,05-23-2017 (5 Months),No,No,$450 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,09-20-2017 (8 Weeks),Yes,No,$1200 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Boxer,Female,10-28-2017 (19 Days),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Boxer,Male,10-08-2017 (5 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Boxer,Female,09-04-2017 (10 Weeks),No,No,$375 USD Buyer tips,Not available,
Boxer,Female,07-31-2017 (15 Weeks),No,No,$600 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Male,09-21-2017 (8 Weeks),No,No,$750 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Boxer,Male,08-26-2017 (11 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Boxer,Male,09-27-2017 (7 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Boxer,Female,05-23-2017 (5 Months),No,No,$450 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,09-04-2017 (10 Weeks),No,No,$375 USD Buyer tips,Not available,
Boxer,Male,09-01-2017 (10 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Boxer,Female,08-12-2017 (13 Weeks),Yes,No,$1075 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Boxer,Male,09-10-2017 (9 Weeks),No,No,$725 USD Buyer tips,Not available,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
