page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Bernese Mountain Dog,Female,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-15-2017 (13 Weeks),No,No,$699 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,09-11-2017 (9 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Bernese Mountain Dog,Female,08-20-2017 (12 Weeks),Yes,No,$1950 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,10-19-2017 (4 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-21-2017 (8 Weeks),Yes,Yes,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,11-12-2017 (4 Days),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,10-21-2017 (3 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations"
Bernese Mountain Dog,Female,09-14-2017 (9 Weeks),Yes,Yes,$1150 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,08-13-2017 (13 Weeks),Yes,Yes,$1350 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-08-2017 (14 Weeks),No,No,$990 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$995 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
