page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Great Dane,Female,10-02-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-12-2017 (5 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-10-2017 (5 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,09-22-2017 (7 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,10-24-2017 (3 Weeks),Yes,Yes,$2500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Pedigree"
Great Dane,Female,10-10-2017 (5 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,09-14-2017 (9 Weeks),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Male,09-28-2017 (7 Weeks),Yes,No,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,09-28-2017 (7 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,10-27-2017 (20 Days),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Female,08-18-2017 (12 Weeks),Yes,Yes,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,10-03-2017 (6 Weeks),No,No,$1000 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,07-22-2017 (16 Weeks),Yes,No,$500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,07-12-2017 (4 Months),Yes,No,$1300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,08-23-2017 (12 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,05-07-2017 (6 Months),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,10-15-2017 (4 Weeks),Yes,Yes,$7500 USD (shipping included!) Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,Male,09-15-2017 (8 Weeks),No,No,$800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,03-28-2017 (7 Months),No,No,$900 USD Buyer tips,Not available,Travel crate
Great Dane,Female,10-31-2017 (16 Days),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Female,10-03-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,10-02-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,10-10-2017 (5 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Female,09-20-2017 (8 Weeks),No,No,$300 USD Buyer tips,Worldwide,
Great Dane,Female,10-01-2017 (6 Weeks),No,No,$1800 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,10-03-2017 (6 Weeks),No,No,$600 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,10-24-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,09-16-2017 (8 Weeks),No,No,$800 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,08-27-2017 (11 Weeks),No,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Male,03-31-2016 (19 Months),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,10-21-2017 (3 Weeks),Yes,Yes,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Female,07-02-2013 (4 Years),No,No,$200 USD Buyer tips,United States,Registered/registerable
Great Dane,Male,10-10-2017 (5 Weeks),No,No,$600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,N/A,09-16-2017 (8 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Male,11-06-2017 (10 Days),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Great Dane,Male,09-19-2017 (8 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,03-31-2017 (7 Months),Yes,Yes,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Great Dane,Male,10-24-2017 (3 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Female,10-08-2017 (5 Weeks),No,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Female,04-03-2017 (7 Months),No,No,$500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Female,08-12-2017 (13 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Great Dane,N/A,03-01-2018 (Unborn),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Great Dane,Female,10-03-2017 (6 Weeks),No,No,$1000 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,10-26-2017 (3 Weeks),Yes,No,$1100 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Great Dane,N/A,09-16-2017 (8 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Female,09-24-2017 (7 Weeks),No,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Great Dane,Female,10-03-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,10-28-2017 (19 Days),No,No,$1600 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,10-30-2017 (17 Days),No,No,$1500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Female,09-17-2017 (8 Weeks),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination"
Great Dane,Male,06-21-2017 (4 Months),Yes,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Great Dane,Female,08-14-2017 (13 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Great Dane,Male,10-14-2017 (4 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Great Dane,Male,07-08-2017 (4 Months),No,No,$695 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Great Dane,N/A,10-31-2017 (16 Days),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Great Dane,Male,10-02-2017 (6 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Great Dane,Male,08-03-2017 (15 Weeks),No,No,$800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
