page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Akita,Male,09-12-2017 (9 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Male,09-24-2017 (7 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,10-15-2017 (4 Weeks),Yes,No,$1500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Akita,Male,10-01-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,03-08-2017 (8 Months),Yes,Yes,‰âÂ1500 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,04-21-2017 (6 Months),Yes,Yes,$2300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-18-2017 (4 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-12-2017 (9 Weeks),Yes,No,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-03-2014 (3 Years),No,No,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,09-12-2017 (9 Weeks),No,No,$750 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate"
Akita,Female,10-22-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,10-20-2017 (3 Weeks),Yes,No,$900 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Akita,Male,09-09-2017 (9 Weeks),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Akita,Female,10-20-2017 (3 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-12-2017 (5 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Akita,Female,09-22-2017 (7 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,08-02-2017 (15 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,Male,08-18-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,Current vaccinations
Akita,Female,11-17-2017 (Unborn),Yes,No,$2200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-20-2017 (8 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,Male,10-19-2017 (4 Weeks),No,No,$1000 USD Buyer tips,Worldwide,Registered/registerable
Akita,Female,10-25-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-23-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,09-09-2017 (9 Weeks),Yes,Yes,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Akita,Female,09-23-2017 (7 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Akita,Female,08-09-2017 (14 Weeks),Yes,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Akita,Male,10-25-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-18-2017 (4 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
Akita,Male,08-07-2017 (14 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-18-2017 (4 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
Akita,Male,10-18-2017 (4 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-23-2017 (7 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-22-2017 (7 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-18-2017 (4 Weeks),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,09-22-2017 (7 Weeks),No,No,$650 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,Male,09-27-2017 (7 Weeks),Yes,No,$800 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-14-2017 (4 Weeks),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-29-2017 (18 Days),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,Female,09-20-2017 (8 Weeks),No,No,$400 USD Buyer tips,Worldwide,Pedigree
Akita,Female,09-24-2017 (7 Weeks),No,No,$1350 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,05-23-2017 (5 Months),Yes,Yes,‰âÂ1300 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,04-01-2017 (7 Months),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,02-01-2018 (Unborn),Yes,No,$1175 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,09-20-2017 (8 Weeks),No,No,$1550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Female,10-18-2017 (4 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee"
Akita,Female,08-07-2017 (14 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,08-18-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,Current vaccinations
Akita,Male,11-01-2017 (15 Days),Yes,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,N/A,11-20-2017 (Unborn),Yes,No,$1300 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-23-2017 (7 Weeks),No,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-18-2017 (4 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Female,09-22-2017 (7 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,10-12-2017 (5 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-05-2015 (2 Years),Yes,Yes,‰âÂ2300 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Male,08-07-2017 (14 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,N/A,12-23-2017 (Unborn),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,05-01-2018 (Unborn),Yes,Yes,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-22-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Female,10-12-2017 (5 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-29-2017 (18 Days),Yes,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,09-21-2017 (8 Weeks),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,08-21-2017 (12 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,07-17-2017 (4 Months),Yes,No,$700 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,11-08-2017 (8 Days),Yes,Yes,$0 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-25-2017 (7 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,N/A,10-14-2017 (4 Weeks),No,No,$1550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,08-19-2017 (12 Weeks),No,No,$1200 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-20-2017 (3 Weeks),Yes,No,$900 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Akita,Female,10-09-2017 (5 Weeks),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,10-10-2017 (5 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Akita,Male,10-09-2016 (13 Months),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Female,09-13-2017 (9 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,Male,10-01-2016 (13 Months),Yes,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,11-01-2017 (15 Days),Yes,Yes,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-12-2017 (9 Weeks),Yes,Yes,$2800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Male,10-29-2017 (18 Days),Yes,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,08-19-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,"Registered/registerable, Current vaccinations"
Akita,Female,10-01-2017 (6 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-10-2017 (9 Weeks),Yes,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-23-2016 (13 Months),Yes,Yes,‰âÂ4500 EUR Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,10-14-2017 (4 Weeks),No,No,$1550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,09-13-2017 (9 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,Male,10-20-2017 (3 Weeks),Yes,No,$900 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Akita,Male,08-27-2017 (11 Weeks),No,No,$900 USD Buyer tips,Worldwide,
Akita,Female,09-03-2017 (10 Weeks),Yes,No,$800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Akita,Female,09-20-2017 (8 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,N/A,12-23-2017 (Unborn),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-20-2017 (3 Weeks),Yes,No,$900 USD Buyer tips,United States,"Current vaccinations, Veterinarian examination"
Akita,Female,12-31-2016 (10 Months),Yes,No,$1000 USD Buyer tips,United States,Registered/registerable
Akita,Male,08-25-2017 (11 Weeks),Yes,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Female,08-21-2017 (12 Weeks),Yes,No,$900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-09-2017 (9 Weeks),No,No,$1500 USD Buyer tips,Worldwide,"Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,08-20-2017 (12 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Female,08-23-2017 (12 Weeks),No,No,$1600 USD (shipping included!) Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,08-18-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,Current vaccinations
Akita,Male,09-13-2017 (9 Weeks),No,No,$700 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-10-2017 (5 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Female,04-01-2017 (7 Months),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-16-2017 (4 Weeks),No,No,$650 USD Buyer tips,Not available,"Registered/registerable, Pedigree"
Akita,Female,10-15-2017 (4 Weeks),Yes,No,$1500 USD (shipping included!) Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Travel crate"
Akita,Female,11-01-2017 (15 Days),Yes,No,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-09-2016 (13 Months),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Male,10-23-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,Registered/registerable
Akita,Male,09-22-2017 (7 Weeks),No,No,$650 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Akita,Female,10-22-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,10-29-2017 (18 Days),Yes,No,$900 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-14-2017 (4 Weeks),No,No,$1550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,08-23-2017 (12 Weeks),No,No,$1300 USD (shipping included!) Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,09-12-2017 (9 Weeks),Yes,Yes,$2000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Male,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations"
Akita,Male,10-23-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,08-23-2017 (12 Weeks),No,No,$1900 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-25-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-21-2017 (3 Weeks),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,Male,08-18-2017 (12 Weeks),Yes,No,$850 USD Buyer tips,United States,Current vaccinations
Akita,Female,11-17-2017 (Unborn),Yes,No,$2200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-22-2017 (7 Weeks),Yes,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Male,10-10-2017 (5 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Akita,Male,10-10-2017 (5 Weeks),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Male,09-27-2017 (7 Weeks),Yes,No,$800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-23-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,Registered/registerable
Akita,Female,09-20-2017 (8 Weeks),No,No,$1550 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Akita,Male,10-09-2017 (5 Weeks),Yes,No,$1100 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination"
Akita,Male,10-23-2017 (3 Weeks),Yes,No,$1200 USD Buyer tips,United States,Registered/registerable
Akita,Male,08-07-2017 (14 Weeks),Yes,Yes,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,09-23-2017 (7 Weeks),No,No,$500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-29-2017 (18 Days),Yes,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Travel crate"
Akita,Female,11-11-2016 (12 Months),No,No,$400 USD Buyer tips,Worldwide,
Akita,Female,04-01-2017 (7 Months),Yes,Yes,$1650 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree, Travel crate"
Akita,Female,09-19-2016 (13 Months),Yes,Yes,$5000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Female,10-01-2017 (6 Weeks),Yes,Yes,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Akita,Male,10-23-2017 (3 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Akita,Female,10-20-2017 (3 Weeks),Yes,Yes,$1800 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
