French Bulldog,Male,-0.326944833,Yes,No,3.751497419,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
German Shepherd Dog,Female,-0.122842896,No,No,-0.956501996,0.404505338,0.245451062,-1.675095401,-1.042488492,0.691721602,-0.797057164,-0.392060295
Boxer,Male,0.031993057,No,No,0.612831142,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Rottweiler,Female,-0.316387836,No,No,-0.642635368,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Akita,Female,-0.319906835,No,No,-0.485702054,0.404505338,0.245451062,-1.675095401,0.958935161,0.691721602,-0.797057164,-0.392060295
French Bulldog,Male,-0.260083854,No,No,2.96683085,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Great Dane,Female,-0.260083854,No,No,1.083631084,-2.471361379,0.245451062,0.596789215,-1.042488492,0.691721602,-0.797057164,-0.392060295
Irish Wolfhound,Female,0.003841065,No,No,0.612831142,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,1.254212264,-0.392060295
Shih Tzu,Female,-0.341020829,No,No,-0.171835427,0.404505338,0.245451062,0.596789215,-1.042488492,0.691721602,1.254212264,-0.392060295
Golden Retriever,Female,-0.288235845,No,No,1.397497711,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
French Bulldog,Male,-0.017272928,Yes,No,1.083631084,0.404505338,0.245451062,0.596789215,-1.042488492,0.691721602,-0.797057164,2.549809003
Rottweiler,Male,-0.326944833,Yes,Yes,1.868297653,0.404505338,0.245451062,0.596789215,-1.042488492,0.691721602,1.254212264,-0.392060295
Golden Retriever,Female,-0.277678848,No,No,0.298964515,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Rottweiler,Female,-0.055981916,No,No,-0.878035339,-2.471361379,0.245451062,0.596789215,-1.042488492,0.691721602,-0.797057164,-0.392060295
Boxer,Female,-0.330463832,No,No,-0.407235397,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Akita,Female,-0.358615823,Yes,No,-0.32876874,0.404505338,0.245451062,-1.675095401,-1.042488492,0.691721602,-0.797057164,-0.392060295
Bernese Mountain Dog,Female,-0.105247901,Yes,No,-0.09336877,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Shih Tzu,Male,-0.260083854,No,No,0.612831142,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,1.254212264,-0.392060295
Labrador Retriever,Female,-0.084133908,No,No,-1.270368623,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Yorkshire Terrier,Female,0.077740043,No,No,-0.799568682,-2.471361379,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,2.549809003
Standard Poodle,Male,-0.094690904,Yes,No,-0.956501996,-2.471361379,0.245451062,0.596789215,-1.042488492,0.691721602,-0.797057164,-0.392060295
Chow Chow,Male,-0.150994887,Yes,No,-0.799568682,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Rottweiler,Female,-0.059500915,No,No,-0.681868697,0.404505338,0.245451062,-1.675095401,0.958935161,0.691721602,-0.797057164,-0.392060295
Labrador Retriever,Male,-0.316387836,Yes,No,-0.250302084,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,2.549809003
Great Dane,Male,0.858957802,No,No,0.612831142,-2.471361379,0.245451062,0.596789215,0.958935161,-1.445204062,1.254212264,-0.392060295
German Shepherd Dog,Male,-0.066538913,No,No,-0.49354872,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Yorkshire Terrier,Female,-0.020791927,Yes,No,-0.642635368,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Rottweiler,Male,-0.217855866,Yes,Yes,0.455897829,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Labrador Retriever,Male,-0.302311841,Yes,No,0.612831142,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Boxer,Male,-0.284716846,No,No,0.612831142,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Labrador Retriever,Female,-0.27064085,No,No,-0.721102025,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Beagle,Male,-0.312868837,No,No,-0.799568682,-2.471361379,-4.07282356,-1.675095401,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Chihuahua,Male,-0.284716846,No,No,-1.11343531,-2.471361379,0.245451062,-1.675095401,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Standard Poodle,Female,-0.288235845,No,No,0.142031201,0.404505338,0.245451062,-1.675095401,-1.042488492,0.691721602,1.254212264,-0.392060295
Great Dane,Female,-0.221374865,No,No,-1.270368623,-2.471361379,-4.07282356,-1.675095401,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Akita,Male,-0.319906835,No,No,-0.171835427,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Standard Poodle,Male,0.155158019,No,No,-0.956501996,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
German Shepherd Dog,Male,-0.158032885,Yes,No,0.142031201,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
German Shepherd Dog,Male,-0.179146878,Yes,Yes,-0.171835427,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Chihuahua,Male,-0.196741873,Yes,No,-0.171835427,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,2.549809003
Akita,Female,0.253689988,Yes,Yes,2.652964222,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,2.549809003
Labrador Retriever,Female,-0.256564855,Yes,Yes,-0.407235397,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,2.549809003
Samoyed,Female,0.176272012,No,No,-0.956501996,0.404505338,0.245451062,0.596789215,0.958935161,-1.445204062,-0.797057164,-0.392060295
Akita,Male,-0.312868837,No,No,-0.721102025,0.404505338,-4.07282356,-1.675095401,-1.042488492,-1.445204062,1.254212264,-0.392060295
Rottweiler,Female,-0.295273843,No,No,-1.11343531,-2.471361379,0.245451062,-1.675095401,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Rottweiler,Female,-0.305830839,Yes,Yes,1.083631084,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Samoyed,Female,-0.344539828,Yes,No,0.612831142,0.404505338,0.245451062,-1.675095401,-1.042488492,-1.445204062,1.254212264,-0.392060295
Great Dane,Female,-0.221374865,No,No,-0.564168711,0.404505338,0.245451062,-1.675095401,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Standard Poodle,Female,-0.221374865,Yes,No,0.142031201,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Siberian Husky,Female,-0.284716846,No,No,-0.171835427,0.404505338,0.245451062,-1.675095401,-1.042488492,0.691721602,-0.797057164,-0.392060295
Chihuahua,Male,-0.024310926,No,No,-1.270368623,-2.471361379,-4.07282356,-1.675095401,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Standard Poodle,Female,5.405504403,Yes,No,0.612831142,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Standard Poodle,Male,0.010879063,No,No,0.612831142,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
German Shepherd Dog,Male,0.292398977,No,No,2.182164281,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Yorkshire Terrier,Male,0.989160762,No,No,-0.171835427,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Chihuahua,Male,1.129920719,No,No,-1.270368623,0.404505338,0.245451062,-1.675095401,-1.042488492,-1.445204062,1.254212264,-0.392060295
Golden Retriever,Female,-0.256564855,Yes,No,-0.171835427,0.404505338,0.245451062,0.596789215,0.958935161,-1.445204062,-0.797057164,-0.392060295
Labrador Retriever,Female,-0.281197847,No,No,-0.485702054,0.404505338,0.245451062,0.596789215,-1.042488492,-1.445204062,-0.797057164,-0.392060295
Bernese Mountain Dog,Male,-0.224893864,Yes,No,1.083631084,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Yorkshire Terrier,Male,-0.182665877,No,No,-0.485702054,0.404505338,0.245451062,0.596789215,-1.042488492,0.691721602,-0.797057164,-0.392060295
Siberian Husky,Male,-0.080614909,No,No,-0.171835427,0.404505338,0.245451062,0.596789215,0.958935161,-1.445204062,-0.797057164,-0.392060295
Rottweiler,Female,-0.267121851,Yes,Yes,2.182164281,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,2.549809003
Great Dane,Female,-0.355096824,Yes,No,0.769764456,0.404505338,0.245451062,0.596789215,-1.042488492,0.691721602,1.254212264,-0.392060295
Akita,Male,-0.263602852,No,No,0.142031201,0.404505338,0.245451062,-1.675095401,-1.042488492,0.691721602,-0.797057164,-0.392060295
Bernese Mountain Dog,Male,-0.316387836,Yes,No,0.455897829,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
Siberian Husky,Female,-0.214336868,Yes,No,-0.564168711,0.404505338,-4.07282356,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Siberian Husky,Female,-0.23896986,No,No,-0.564168711,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Bernese Mountain Dog,Male,-0.274159849,No,No,0.907865772,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,-0.797057164,-0.392060295
Chihuahua,Female,-0.341020829,Yes,No,-0.721102025,0.404505338,0.245451062,0.596789215,0.958935161,-1.445204062,1.254212264,-0.392060295
Rottweiler,Male,0.331107965,Yes,Yes,1.397497711,0.404505338,0.245451062,0.596789215,0.958935161,0.691721602,1.254212264,-0.392060295
